Conjunction data for RBSPb and FU4 from Shumko file FU4_RBSPB_conjunctions_dL10_dMLT10_hr_final.txt
Tstart = start of conjunction
Tend = end of conjunction
Tmin = time of closest conjunction (defined from minimum absolute separation)
Lrb = L value (rbspb) during min separation time
Lfb = L value (FU4) during min separation time
MLTrb = MLT value (rbspb) during min separation time
MLTfb = MLT value (FU4) during min separation time
distmin = minimum |separation| in RE b/t rbspb and FU4 at Tminsep
dLmin = |delta L| of rbspb) during min separation time
dMLTmin = |delta MLT| of rbspb) during min separation time
col = max collimated detector FB flux during conjunction
sur = max surface detector FB flux during conjunction
EMFb = number of sec of EMFISIS burst data within +/-60 min of middle conjunction time
B1b = number of sec of EFW burst 1 data within +/-60 min of middle conjunction time
B2b = number of sec of EFW burst 2 data within +/-60 min of middle conjunction time
Total spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Max   spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Total spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Max   spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Total spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Max   spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Total spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Max   spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Total spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Max   spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Total spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Max   spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
The remaining columns are max EFW filter bank amplitudes (pT, mV/m) within +/-60 min of middle conjunction time
 
Tstart              Tend                Tmin				    Lrb       Lfb      MLTrb    MLTfb   distmin	 dLmin	dMLTmin    col	    sur    EMFb   B1b   B2b  SpecETot_lf  SpecEMax_lf  SpecEAvg_lf  SpecEMed_lf    SpecETot_lb  SpecEMax_lb  SpecEAvg_lb  SpecEMed_lb    SpecETot_ub  SpecEMax_ub  SpecEAvg_ub  SpecEMed_ub    SpecBTot_lf  SpecBMax_lf  SpecBAvg_lf  SpecBMed_lf  SpecBTot_lb  SpecBMax_lb  SpecBAvg_lb  SpecBMed_lb    SpecBTot_ub  SpecBMax_ub  SpecBAvg_ub  SpecBMed_ub  7E4 7E5  7E6  7B4  7B5  7B6 13E7 13E8 13E9 13E10 13E11 13E12 13B7 13B8 13B9 13B10 13B11 13B12
2016-08-14/01:27:13 2016-08-14/01:28:26 2016-08-14/01:28:01     5.46     5.41     2.06     1.49   0.80955    0.043    0.569    26.30    -1.00   549  2459    71           1.14       0.099304       0.000479       0.000052          45.35       0.741473       0.009599       0.000931           9.81       0.291293       0.006187       0.000517           0.00       0.000005       0.000000       0.000000           0.00       0.000000       0.000000       0.000000           0.00       0.000000       0.000000       0.000000    0   12    2    6   45   12    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-14/02:02:02 2016-08-14/02:02:41 2016-08-14/01:28:01     5.46     5.41     2.06     1.49   0.80955    0.043    0.569    37.71    -1.00   559  3865   107           0.63       0.052962       0.000271       0.000052          77.02       2.965891       0.011768       0.000931          11.06       0.291293       0.006390       0.000569           0.00       0.000002       0.000000       0.000000           0.00       0.000000       0.000000       0.000000           0.00       0.000000       0.000000       0.000000    3   41    2   12   75   12    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-21/22:55:42 2016-08-21/22:56:36 2016-08-21/22:56:01     5.02     5.01     1.27     1.61   0.44622    0.009    0.340     2.55    -1.00   791     0     0           5.06       0.092684       0.002065       0.000181           0.47       0.039722       0.000833       0.000155           0.17       0.023171       0.000581       0.000129           0.00       0.000004       0.000000       0.000000           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN    0    3    4    6   15   12    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-22/00:31:13 2016-08-22/00:31:57 2016-08-22/00:31:26     5.80     5.68     2.47     1.70   1.15144    0.123    0.763     0.94    -1.00  1005     0    19           0.18       0.005379       0.000152       0.000052          21.00       0.198609       0.004223       0.000776          24.24       0.238331       0.007330       0.001862           0.00       0.000002       0.000000       0.000000           0.00       0.000001       0.000000       0.000000           0.00       0.000000       0.000000       0.000000    0    5    1    2   59   19    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-25/00:56:42 2016-08-25/00:57:31 2016-08-25/00:57:25     5.82     5.70     2.37     1.61   1.15933    0.116    0.766    11.51    -1.00  1212     0     3           0.61       0.014896       0.000214       0.000078          87.67       1.059247       0.015725       0.001034          13.52       0.264812       0.008846       0.001241           0.00       0.000003       0.000000       0.000000           0.00       0.000007       0.000000       0.000000           0.00       0.000000       0.000000       0.000000    1   23    2    8  442   24    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-25/12:02:23 2016-08-25/12:02:57 2016-08-25/12:02:44     5.56     5.08     3.78     4.21   0.76825    0.479    0.432    60.39    -1.00   266  7128     0           0.13       0.001862       0.000102       0.000052           0.06       0.018206       0.001166       0.000233           0.11       0.043032       0.007032       0.000931           0.00       0.000002       0.000000       0.000000           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN    0    0    6    3    5   18    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-29/21:24:28 2016-08-29/21:25:12 2016-08-29/21:24:40     5.31     5.32     1.33     1.46   0.18670   -0.004    0.134    24.04    -1.00   464     0    39         656.39       6.355481       0.029079       0.000414          26.43       0.635548       0.004754       0.000724          15.72       0.344255       0.004491       0.000724           0.02       0.000098       0.000001       0.000000           0.00       0.000000       0.000000       0.000000           0.00       0.000000       0.000000       0.000000    1    9   29   18   63  132    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-31/00:22:47 2016-08-31/00:23:41 2016-08-31/00:23:04     5.19     5.11     1.14     1.83   0.93489    0.077    0.692    10.95    -1.00   180     0     0           8.83       1.271096       0.008500       0.000259           7.15       0.953322       0.002272       0.000414           0.32       0.039722       0.001440       0.000155           0.00       0.000118       0.000000       0.000000           0.00       0.000000       0.000000       0.000000           0.00            NaN           -NaN            NaN    0   12    2    2   61    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-01/12:07:56 2017-07-01/12:09:28 2017-07-01/12:08:46     5.76     5.75    16.15    16.13   0.02791    0.009    0.018     5.41    -1.00   290     0     0           1.26       0.001448       0.000132       0.000078           0.78       0.001862       0.000185       0.000103           0.00            NaN           -NaN            NaN           0.04       0.000010       0.000001       0.000001           0.00       0.000003       0.000000       0.000000           0.00            NaN           -NaN            NaN    0    0    0   41   29    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-01/18:34:37 2017-07-01/18:36:52 2017-07-01/18:35:52     5.44     5.58    14.36    14.46   0.19829   -0.138    0.098    12.87    -1.00   313     0    11          14.48       0.238331       0.002226       0.000207           0.11       0.019861       0.002012       0.000181           0.01       0.001655       0.000204       0.000103           0.01       0.000012       0.000000       0.000000           0.00       0.000000       0.000000       0.000000           0.00            NaN           -NaN            NaN    0    3    0   11   61   11    0    0    0    0    0    0    0    0    0    0    0    0
