Conjunction data for RBSPb and FU3 from Shumko file FU3_RBSPB_conjunctions_dL10_dMLT10_hr_final.txt
Tstart = start of conjunction
Tend = end of conjunction
Tmin = time of closest conjunction (defined from minimum absolute separation)
Lrb = L value (rbspb) during min separation time
Lfb = L value (FU3) during min separation time
MLTrb = MLT value (rbspb) during min separation time
MLTfb = MLT value (FU3) during min separation time
distmin = minimum |separation| in RE b/t rbspb and FU3 at Tminsep
dLmin = |delta L| of rbspb) during min separation time
dMLTmin = |delta MLT| of rbspb) during min separation time
col = max collimated detector FB flux during conjunction
sur = max surface detector FB flux during conjunction
EMFb = number of sec of EMFISIS burst data within +/-60 min of middle conjunction time
B1b = number of sec of EFW burst 1 data within +/-60 min of middle conjunction time
B2b = number of sec of EFW burst 2 data within +/-60 min of middle conjunction time
Total spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Max   spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Total spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Max   spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Total spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Max   spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Total spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Max   spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Total spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Max   spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Total spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Max   spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
The remaining columns are max EFW filter bank amplitudes (pT, mV/m) within +/-60 min of middle conjunction time
 
Tstart              Tend                Tmin				    Lrb       Lfb      MLTrb    MLTfb   distmin	 dLmin	dMLTmin    col	    sur    EMFb   B1b   B2b  SpecETot_lf  SpecEMax_lf  SpecEAvg_lf  SpecEMed_lf    SpecETot_lb  SpecEMax_lb  SpecEAvg_lb  SpecEMed_lb    SpecETot_ub  SpecEMax_ub  SpecEAvg_ub  SpecEMed_ub    SpecBTot_lf  SpecBMax_lf  SpecBAvg_lf  SpecBMed_lf  SpecBTot_lb  SpecBMax_lb  SpecBAvg_lb  SpecBMed_lb    SpecBTot_ub  SpecBMax_ub  SpecBAvg_ub  SpecBMed_ub  7E4 7E5  7E6  7B4  7B5  7B6 13E7 13E8 13E9 13E10 13E11 13E12 13B7 13B8 13B9 13B10 13B11 13B12
2015-06-11/19:29:23 2015-06-11/19:30:12 2015-06-11/19:29:33     5.83     5.55    18.75    19.97   1.83011    0.287    1.219    14.49    14.92   749     0     0           0.10       0.001862       0.000122       0.000052           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN           0.00       0.000002       0.000000       0.000000           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN    0    0    0    5    0    3    0    0    0    0    0    0    0    0    0    0    0    0
2015-06-12/13:01:56 2015-06-12/13:03:03 2015-06-12/13:02:28     5.89     5.90    18.42    18.47   0.07001   -0.010    0.045     8.88    22.07  1352     0     0           0.02       0.000362       0.000045       0.000026           0.00       0.000155       0.000035       0.000026           0.00            NaN           -NaN            NaN           0.00       0.000001       0.000000       0.000000           0.00       0.000000       0.000000       0.000000           0.00            NaN           -NaN            NaN    0    0    0    8    8    9    0    0    0    0    0    0    0    0    0    0    0    0
2015-06-12/22:32:28 2015-06-12/22:33:17 2015-06-12/22:32:45     5.99     5.98    18.68    19.43   1.16568    0.013    0.745     5.09    13.81  1209     0     0           0.00       0.000026       0.000026       0.000026           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN           0.00       0.000001       0.000000       0.000000           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN    0    0    0    1    1    3    0    0    0    0    0    0    0    0    0    0    0    0
2015-07-04/20:12:52 2015-07-04/20:13:36 2015-07-04/20:13:00     5.04     4.88    19.16    20.18   1.33434    0.167    1.023  2627.76  1012.38   499     0    19          26.07       0.066203       0.001762       0.000517           2.23       0.046342       0.005550       0.002689           0.00            NaN           -NaN            NaN           0.09       0.000333       0.000004       0.000000           0.00       0.000061       0.000004       0.000001           0.00            NaN           -NaN            NaN    1    0    4  205   71   16    0    0    0    0    0    0    0    0    0    0    0    0
2015-12-14/17:23:44 2015-12-14/17:25:15 2015-12-14/17:24:36     4.82     4.61     9.73    10.56   1.04564    0.208    0.832     5.43    31.60   206     0    15          31.95       0.079444       0.001161       0.000310           5.62       0.029791       0.001051       0.000310           0.02       0.005379       0.001314       0.000362           0.43       0.000570       0.000009       0.000001           0.00       0.000031       0.000000       0.000000           0.00            NaN           -NaN            NaN    1    2    5  262  229  165    0    0    0    0    0    0    0    0    0    0    0    0
2015-12-15/04:26:56 2015-12-15/04:28:22 2015-12-15/04:27:32     5.88     5.76    11.54    11.81   0.43210    0.122    0.272    15.44    27.00   289     0   206           0.09       0.001862       0.000117       0.000052          80.74       0.847398       0.007756       0.000931           1.12       0.059583       0.001483       0.000284           0.00       0.000002       0.000000       0.000000           0.00       0.000052       0.000000       0.000000           0.00       0.000000       0.000000       0.000000    0   14    3   28  695   36    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-20/19:46:47 2016-01-20/19:47:51 2016-01-20/19:47:21     5.72     5.67    11.03    10.40   0.92622    0.054    0.621    49.43    29.17   243     0     0          10.75       0.317774       0.004494       0.000284          17.74       0.158887       0.003557       0.000724           1.57       0.039722       0.000916       0.000259           0.01       0.000111       0.000000       0.000000           0.00       0.000020       0.000000       0.000000           0.00       0.000000       0.000000       0.000000    0    7    4   49  316   34    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-21/22:46:23 2016-01-21/22:47:17 2016-01-21/22:46:48     5.90     5.84    10.86    10.29   0.87956    0.064    0.571    58.22    30.85   922     0   146           0.65       0.011586       0.000194       0.000078         159.84       1.165172       0.015252       0.001345           1.22       0.423699       0.003787       0.000284           0.00       0.000005       0.000000       0.000000           0.00       0.000086       0.000000       0.000000           0.00            NaN           -NaN            NaN    1   19    5   73  948   31    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-27/07:31:50 2016-01-27/07:33:46 2016-01-27/07:32:46     4.79     4.65    12.35    12.69   0.44290    0.140    0.341     2.98    35.54   259     0     0           1.38       0.003310       0.000220       0.000129           0.14       0.000776       0.000104       0.000052           0.00            NaN           -NaN            NaN           0.01       0.000001       0.000000       0.000000           0.00       0.000000       0.000000       0.000000           0.00            NaN           -NaN            NaN    0    0    0   19   13    3    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-14/01:32:56 2016-08-14/01:34:03 2016-08-14/01:33:42     5.51     5.46     2.13     1.50   0.90807    0.055    0.632    32.70    27.52   576  2796    87           0.83       0.099304       0.000383       0.000052          53.10       1.482946       0.010358       0.000931          10.69       0.291293       0.006373       0.000569           0.00       0.000002       0.000000       0.000000           0.00       0.000000       0.000000       0.000000           0.00       0.000000       0.000000       0.000000    1   35    2   12   75   12    0    0    0    0    0    0    0    0    0    0    0    0
