Conjunction data for RBSPa and FU3 from Shumko file FU3_RBSPA_conjunctions_dL10_dMLT10_hr_final.txt
Tstart = start of conjunction
Tend = end of conjunction
Tmin = time of closest conjunction (defined from minimum absolute separation)
Lrb = L value (rbspa) during min separation time
Lfb = L value (FU3) during min separation time
MLTrb = MLT value (rbspa) during min separation time
MLTfb = MLT value (FU3) during min separation time
distmin = minimum |separation| in RE b/t rbspa and FU3 at Tminsep
dLmin = |delta L| of rbspa) during min separation time
dMLTmin = |delta MLT| of rbspa) during min separation time
col = max collimated detector FB flux during conjunction (detrended over 0.1 sec to get rid of roll variation)
sur = max surface detector FB flux during conjunction (detrended over 0.1 sec to get rid of roll variation)
EMFb = number of sec of EMFISIS burst data within +/-60 min of middle conjunction time
B1b = number of sec of EFW burst 1 data within +/-60 min of middle conjunction time
B2b = number of sec of EFW burst 2 data within +/-60 min of middle conjunction time
Total spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Max   spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Total spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Max   spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Total spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Max   spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Total spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Max   spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Total spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Max   spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Total spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Max   spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
The remaining columns are max EFW filter bank amplitudes (pT, mV/m) within +/-60 min of middle conjunction time
 
Tstart              Tend                Tmin				    Lrb       Lfb      MLTrb    MLTfb   distmin	 dLmin	dMLTmin    col	    sur    EMFb   B1b   B2b  SpecETot_lf  SpecEMax_lf  SpecEAvg_lf  SpecEMed_lf    SpecETot_lb  SpecEMax_lb  SpecEAvg_lb  SpecEMed_lb    SpecETot_ub  SpecEMax_ub  SpecEAvg_ub  SpecEMed_ub    SpecBTot_lf  SpecBMax_lf  SpecBAvg_lf  SpecBMed_lf  SpecBTot_lb  SpecBMax_lb  SpecBAvg_lb  SpecBMed_lb    SpecBTot_ub  SpecBMax_ub  SpecBAvg_ub  SpecBMed_ub  7E4 7E5  7E6  7B4  7B5  7B6 13E7 13E8 13E9 13E10 13E11 13E12 13B7 13B8 13B9 13B10 13B11 13B12
2015-02-01/03:51:57 2015-02-01/03:55:08 2015-02-01/03:55:01     3.39     2.76    20.43    19.34   1.07621    0.630    1.093     0.47     2.18   230     0     0           3.61       0.476661       0.003185       0.000336           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN        6477.69      58.941637       0.149008       0.062078           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN    0    0    1   22   18   22    0    0    0    0    0    0    0    0    0    0    0    0
2015-04-07/23:56:48 2015-04-07/23:59:34 2015-04-07/23:57:41     3.74     3.29    18.77    18.06   0.79177    0.454    0.707     0.21     0.42     3     0     0           9.37       0.158887       0.004287       0.000284           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN        9511.61      13.213314       0.227992       0.093845           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN    0    0    1   30   33   41    0    0    0    0    0    0    0    0    0    0    0    0
2015-06-11/19:29:23 2015-06-11/19:30:12 2015-06-11/19:29:30     5.79     5.46    18.66    19.97   1.94704    0.333    1.310     3.14     1.99   779     0     0           7.46       0.012413       0.000829       0.000362           0.05       0.000931       0.000133       0.000078           0.00            NaN           -NaN            NaN      104759.86     128.859412       2.691810       0.169449         299.79       2.661585       0.183920       0.072484           0.00            NaN           -NaN            NaN    0    0    0   45    7    3    0    0    0    0    0    0    0    0    0    0    0    0
2015-06-12/13:01:44 2015-06-12/13:02:57 2015-06-12/13:02:23     5.75     5.77    18.39    18.48   0.14065   -0.019    0.092     2.35     2.80  1352     0     0           0.23       0.009930       0.000137       0.000052           0.00       0.000155       0.000034       0.000026           0.00       0.000026       0.000026       0.000026        4419.59       2.624990       0.136314       0.058985           9.15       0.050181       0.008091       0.005551           0.00            NaN           -NaN            NaN    1    0    0   45   87   20    0    0    0    0    0    0    0    0    0    0    0    0
2015-06-12/22:32:28 2015-06-12/22:33:17 2015-06-12/22:32:45     5.99     5.98    18.68    19.43   1.16166    0.005    0.743     1.91     2.08  1209     0     0           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN        3323.14       1.817301       0.147879       0.051112           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN    0    0    0    1    1    3    0    0    0    0    0    0    0    0    0    0    0    0
2015-07-04/17:02:56 2015-07-04/17:04:03 2015-07-04/17:03:20     5.25     5.15    19.04    19.86   1.11841    0.101    0.820  4251.05  1296.40   457     0     0          30.46       0.059583       0.001595       0.000724           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN      457486.90   39699.542502      14.024307       2.012572           6.63       1.745532       0.161650       0.004415           0.00            NaN           -NaN            NaN    0    0    0  802 1997 1791    0    0    0    0    0    0    0    0    0    0    0    0
2015-12-15/04:29:02 2015-12-15/04:29:26 2015-12-15/04:28:51     4.76     4.26    10.33    11.58   1.54773    0.507    1.246     2.40    11.33   242     0    39          25.09       1.059247       0.006449       0.000362           5.75       0.092684       0.002509       0.000672           8.96       0.052962       0.002952       0.000931       12309.07     321.964422       0.538290       0.051776           0.68       0.060585       0.003979       0.001799           0.00       0.000419       0.000419       0.000419    0    3   12    8   79   49    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-20/19:46:47 2016-01-20/19:47:46 2016-01-20/19:47:18     5.78     5.76    10.72    10.41   0.47667    0.016    0.315     7.89    10.52   290     0     7           1.41       0.211849       0.000491       0.000078          38.31       0.529623       0.006445       0.001034           2.46       0.029791       0.001644       0.000517        3980.06     166.533086       0.195168       0.051776        2544.78      86.482284       0.521471       0.049958           0.68       0.051290       0.002912       0.001165    1   11    6  158  665   29    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-21/22:46:18 2016-01-21/22:47:17 2016-01-21/22:46:46     5.95     5.90    10.77    10.29   0.74930    0.042    0.483    22.51    11.63   934     0   194           3.31       0.052962       0.000520       0.000103         226.91       1.906644       0.017537       0.001241           0.43       0.119165       0.005824       0.000465        4373.85       3.568525       0.168751       0.056307        5655.81     102.206336       0.537114       0.039123           0.00            NaN           -NaN            NaN    2   29    3   71 1131   34    0    0    0    0    0    0    0    0    0    0    0    0
2016-05-26/09:53:25 2016-05-26/09:55:09 2016-05-26/09:53:50     3.37     3.82     9.33    10.20   0.92886   -0.454    0.865     0.52     9.75   191     0     7           0.00       0.000078       0.000030       0.000026           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN        9144.08       4.804841       0.224792       0.084501           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN    0    0    1   25   64   36    0    0    0    0    0    0    0    0    0    0    0    0
