Time,Lat,Lon,Alt,McIlwainL,MLT,kp,sig0,sig1,sig2,sig3,sig4,sig5
2017-07-09 02:27:49.041000,-72.19943523822965,-155.53671769499488,469.73967227502635,15.22604466654395,17.831843043415365,50.0,12.467982137944079,2.856808676749989,1.348596179900313,0.36144869800612445,-0.09534625892455922,-0.3560258220479412
2017-07-09 02:27:49.291000,-72.21314827104352,-155.56481152097695,469.727727961439,15.2629285557597,17.831578135122488,50.0,20.066227676421164,10.365211140857687,2.7765937647543857,-0.39110881055649366,0.8921492210152625,-0.31980107453341566
2017-07-09 02:27:49.891000,-72.24604445590677,-155.632401311821,469.6990737009525,15.354851548779633,17.830941224866137,50.0,17.485445683861712,12.128112436006433,3.359344509086,0.31622776601683794,-0.09534625892455922,-0.33806170189140666
2017-07-09 02:27:51.841000,-72.35280938794021,-155.85368447624933,469.6060648202664,15.659340617387066,17.8293884034008,50.0,13.13291582662405,6.968604115534866,2.189401347599285,0.5330017908890261,0.7926290870042667,1.2247448713915892
2017-07-09 02:27:51.991000,-72.36101312885305,-155.87081026673695,469.59891732322075,15.682073669442351,17.82922762496017,50.0,12.03903711407795,5.631120152335633,1.0141851056742202,-0.3560258220479412,-0.13987572123604705,0.4082482904638631
2017-07-09 02:27:52.891000,-72.41020369777847,-155.97386905387975,469.55605764974104,15.826847824026663,17.828525013361798,50.0,26.427634987039124,13.000329759432637,2.2768940632674295,0.6139406135149204,-0.20328927815368153,-0.28234195779599514
2017-07-09 02:27:54.091000,-72.47571504044845,-156.1121152624546,469.498970780945,16.02834729780962,17.827758715492152,50.0,39.70599481060831,21.875078231152628,4.519357641959193,1.3522468075656267,-0.31980107453341566,0.50709255283711
2017-07-09 02:27:55.341000,-72.54386154544125,-156.25714081671322,469.43957854905824,16.23675305925746,17.826667754179987,50.0,25.991584478151506,14.901127294479151,4.204378498797543,0.23008949665421116,-0.30123203803835463,0.36144869800612445
2017-07-09 02:27:56.091000,-72.58470363866776,-156.3446605977515,469.4039783852994,16.367137744184816,17.826115546176425,50.0,21.464420996502184,11.017092165589654,3.1943346075365464,0.27247463045653303,-0.28234195779599514,-0.4417706308963744
2017-07-09 02:28:00.991000,-72.85066604085863,-156.92588129960495,469.1720514933109,17.279056219731896,17.82177980684703,50.0,29.151368730311358,5.109607961984937,2.2386075217339094,1.6037265276568209,-0.22360679774997896,0.3386481059780782
