date					  L		 MLT     mnsep	  dL	   dMLT   col	sur	  EMFb   B1b   B2b  7E4	 7E5  7E6  7B4  7B5	7B6  13E7 13E8 13E9 13E10 13E11	13E12 13B7 13B8	13B9 13B10 13B11 13B12
2017-07-09/12:04:26      5.2     16.7    0.419    0.130    0.297    40    27   290  5252     0    0    0    0   87   10    6    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/16:56:11      4.6     13.8    0.953   -0.771    0.427    22    76   170     0    11    0    0    0   54   18   12    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/18:31:59      5.7     15.1    0.742    0.533    0.363    60   541   302     5     0    0    1    0   56   91    7    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/20:06:55      5.7     16.1    1.061    0.587    0.626    26    25   290  5045     0    0    0    0   48   58    3    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-11/09:59:35      3.9     17.8    0.535    0.104    0.528    75   201  1197  2768     0    0    0    0   43   16   14    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-11/14:51:26      5.5     14.8    0.266   -0.199    0.119    59   224   230     0     0    0    0    0   18    3    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-11/16:27:14      5.7     15.8    1.371    1.075    0.629    62   259   278     0     0    0    0    0   43   33    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-12/19:25:35      5.8     15.8    1.174    0.765    0.633   164   383   361     0     0    0    0    0   60   56    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-16/23:14:04      5.1     16.5    0.670   -0.063    0.493   635  1280   396     0     0    1    0    0  129   29    3    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-17/15:02:48      5.8     15.1    0.058   -0.037    0.029  6024  2095   564  6580     0    0    0    0   28   15    7    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-21/17:20:32      5.8     14.9    0.684    0.572    0.261  1560  1097   480     0    59    0    4    1 1203 2130 2107    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-21/18:55:40      5.6     15.8    1.185    0.745    0.680   584   822   507     0     7    0    3    1   16  120   39    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-22/20:17:39      5.9     14.9    0.515   -0.268    0.280   764  1003   457     0    39    0    5    0    7  332   31    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-22/21:52:04      5.6     15.8    0.570   -0.163    0.369   808   882   564     0    47    0    5    0    4  332   10    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-21/07:56:02      4.1      7.8    1.075   -0.717    0.687     8    29   302   239    75    0    5   29   10  183   98    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-21/20:01:59      6.0     10.4    0.515    0.284    0.278   888  1337  1875  7127    79    1   20    0   75  665   23    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-22/10:50:04      4.4      7.8    0.248   -0.020    0.215    16    59   290     0     0    0    2    6   52   47   75    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-22/13:23:07      6.4      9.9    0.902    0.451    0.487    80   643   297     0   134    2   15    1   58  282    8    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-24/00:22:09      5.6      9.3    0.249   -0.037    0.169    37    98   217     0    31    1    1    8    2    5   20    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-25/22:16:26      5.8     10.0    0.320   -0.094    0.199    21    30   290     0   138    0    1    1    7    9   29    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-28/11:55:57      6.1      9.2    0.851    0.286    0.515   133   320   432     0   261    0    7    1   24  316    9    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-28/15:04:54      5.0     11.8    1.124   -0.571    0.697    95   305   469     0    23    2    3    2   50  108   36    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-04/12:02:44      6.2      9.7    0.337    0.106    0.199    62   196   420     0    51    0    1    1  129   99   12    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-04/21:38:39      5.8     10.1    0.088    0.077    0.027     8    30   361     0     3    0    6    5    4  191   41    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-05/16:32:41      5.7     11.0    0.741    0.502    0.381    23    67   385     0    75    6   29    7   22  599   95    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-05/23:00:17      5.6      9.0    0.904    0.290    0.597  1237  1626   469     0    47    1    9    6    7  382   47    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-06/07:27:21      5.5      8.6    0.083   -0.001    0.058    12    28   397     0     3    0    5    3   33  149   27    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-07/01:56:19      5.6      9.0    0.158   -0.020    0.106    31    63   433     0     0    0    1    7    8   26   39    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-07/20:53:23      5.9      9.8    1.016    0.505    0.600    35   293     3     0   167    0   15    2   19  565   52    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-10/09:37:32      5.5      8.2    0.403   -0.014    0.280     8    28   361     0     0    0    0    0   24    3    3    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-11/03:03:51      4.8      7.7    0.036    0.004    0.028     8    28   349     0     0    0    0    0   14   41  111    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-13/21:00:23      5.6     10.2    0.257    0.110    0.160    46    70   349     0   126    0    7    1   19  366   20    0    0    0    0    0    0    0    0    0    0    0    0
2018-02-26/18:47:02      5.8      6.5    0.022    0.009    0.013    17   108   444     0    19    1    7    7    6   14   29    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-01/11:39:42      5.0      8.1    1.002    0.015    0.766    11    29   922   774     0    0    0    0   60    9    8    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-03/09:34:32      3.7      9.5    0.354   -0.321    0.148    11    29   122     0     3    0    0    2   28   32   41    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-04/12:27:32      3.6      9.5    0.716   -0.322    0.654     8    27   111     0     0    0    0    2   35   23   27    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-12/16:48:11      4.4      8.3    0.614    0.236    0.507    20    48   397   593     0    0    0    0   87   10    6    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-13/00:47:16      5.7      7.4    0.548   -0.098    0.361    15    29   325     0     0    0    0    0    6    6    3    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-13/18:10:32      5.6      6.9    0.048   -0.020    0.030    11    29   469   593   178    0    1    2    1    4   31    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-17/20:21:42      5.9      6.6    0.273   -0.093    0.164    15   137   421   594    23    1   32    2    3  216   11    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-19/00:50:59      5.0      8.0    0.088   -0.015    0.066    42   272   337   597    71    2   13   42    8  316   69    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-26/03:48:17      3.6      9.0    0.069   -0.005    0.072   593   343   230   298    23    1   12   21   66   32   52    0    0    0    0    0    0    0    0    0    0    0    0
2018-04-20/21:13:20      4.0      7.6    0.451   -0.136    0.408    25   211   242     0    43    0    0    0    0    0    0    0    0    0    1    4    5   69  158  129  366  352  197
2018-04-23/20:27:51      4.5      7.0    1.073   -0.309    0.840   648   998   314  1698    11    0    0    0    0    0    0    0    0    0    3    1    0   49   75   73  216   88   18
2018-05-03/22:39:11      3.8      7.4    1.120   -0.190    1.098    51   313   230     0    39    0    0    0    0    0    0    0    0    0    0    0    1   28   33   43   49   41   34
2018-07-06/11:09:45      4.2     23.6    0.741    0.040    0.680    13    28   277     0     3    0    0    0    0    0    0    0    0    0    0    0    0   42   60   42   23   14   27
2018-07-15/10:24:32      4.7     23.9    1.047    0.108    0.867    15    27   302     0     0    0    0    0    0    0    0    0    0    0    0    0    0   14   13   16   18   15   15
2018-08-03/11:46:37      5.5      0.1    1.022    0.092    0.716    67   277   361     0   146    0    0    0    0    0    0    0    1    2   11    8    1    5    9   14   56   39   18
2018-08-04/04:12:29      3.7     22.4    0.082    0.022    0.081    42   118   266     0     0    0    0    0    0    0    0    0    0    0    0    0    3    9    9   16   22   44   44
2018-08-06/11:00:11      5.2     23.7    0.387    0.006    0.287    11    30   361     0     0    0    0    0    0    0    0    0    0    0    0    0    0    3    4   10   31   23   47
2018-08-07/17:02:40      5.7      2.0    1.628    0.001    1.099    11    28   373   650     7    0    0    0    0    0    0    0    0    0    1    4    3    2    1    5   19   19   21
2018-08-08/07:54:02      5.1     23.7    0.619    0.069    0.462    13    24   421   942     0    0    0    0    0    0    0    0    0    0    0    0    1   22   29   25   33   15    9
2018-08-09/03:54:06      5.8      1.2    0.118    0.036    0.075    11    27   360   304    11    0    0    0    0    0    0    1    0    0    0    0    0    1    1    4   13    8    4
2018-08-09/10:14:02      4.8     23.2    0.305    0.006    0.244    13    29   361     0     0    0    0    0    0    0    0    0    0    0    0    0    0   17   13   18   20   16    8
2018-08-10/05:14:37      5.5      0.1    0.612    0.131    0.420    11    27   433     0     0    0    0    0    0    0    0    0    0    0    0    0    0   12   13   14   31   14    7
2018-08-10/21:35:08      4.2     22.6    0.862    0.559    0.635    20    70   576     0     0    0    0    0    0    0    0    0    0    0    0    0    2   10   19    9    5   11   21
2018-08-11/01:46:50      5.4      2.0    1.202   -1.004    0.433    11    27   863     0     0    0    0    0    0    0    0    0    0    0    0    0    0    2    2    3    4    6    4
2018-08-11/07:07:32      4.8     23.3    0.155    0.016    0.123    31    34   338     0     0    0    0    0    0    0    0    0    1    1    4    4   15    5    7    5   30   19    9
2018-08-11/08:08:40      5.5      0.1    0.614    0.005    0.425    13    25   361     0     0    0    0    0    0    0    0    1    1    3    8    4   15    3    7    5   30   41    8
2018-08-11/08:41:52      5.5      0.1    0.614    0.005    0.425    13    25   361     0     0    0    0    0    0    0    0    1    1    3    8    3   15    3    3    5   30   41    8
2018-08-11/17:34:55      6.1      0.5    0.981    0.230    0.612     8    26   361     0     0    0    0    0    0    0    0    2    1    2    4    2    1    8   31   89   58   14    6
2018-08-11/19:10:09      5.8      1.6    0.012    0.002    0.008     8    28   361     0     0    0    0    0    0    0    0    0    0    0    0    0    0    2    2    4   11    9    3
2018-08-12/00:31:57      4.3     22.7    1.258    0.676    1.040    49    33   328     0     0    0    0    0    0    0    0    0    0    0    0    0    0   58   17    7    9    8    7
2018-08-13/06:02:42      5.8      0.9    0.834   -0.033    0.543   404   290   410     0     0    0    0    0    0    0    0    0    0    9   20    5    2    6    5   30  249   82    9
2018-08-13/20:46:55      3.7     21.9    0.242   -0.125    0.212    15    24   218     0     0    0    0    0    0    0    0    0    0    0    0    1    1   55   45   26   19   37   27
2018-08-17/01:48:17      4.7      2.5    0.510   -0.153    0.391     8    28   468     0     0    0    0    0    0    0    0    0    0    0    0    0    3   13    8    7   19  121   46
2018-08-17/14:57:52      4.9     22.7    0.658   -0.015    0.514    22   229   683     0     0    0    0    0    0    0    0    0    0    0    0    0    1   99   96   64   39   24   42
2018-08-17/19:11:26      5.3      2.0    0.614   -0.087    0.438    13    29   737     0     0    0    0    0    0    0    0    0    0    0    1    0    0   73   83   53  149   68   11
2018-08-18/03:07:37      5.7      1.2    0.842    0.297    0.543     8    28   397     0     0    0    0    0    0    0    0    0    0    0    9    7    1    3    4    7   33   18    3
2018-08-18/11:01:54      5.8      0.5    1.359    0.168    0.904    20    90   456     0     0    0    0    0    0    0    0    0    0    6   24   18   13   11   14  179  698  198   25
2018-09-20/00:47:29      4.1      2.0    0.635    0.286    0.552    11    29   229     0     0    0    0    0    0    0    0    0    0    0    0    1    1   45   62  123  191  187  111
2018-09-20/21:55:55      3.9     21.0    1.252   -0.811    0.850   120   498   493     0     0    0    0    0    0    0    0    0    0    0    0    0    1   12   11    9   16   30   21
2018-09-21/11:35:50      5.1      0.9    0.651    0.030    0.488    33   156   361     0     0    0    0    0    0    0    0    0    0    0    0    0    0   53   28   10   14    8   15
2018-09-22/12:54:12      5.7      0.1    0.428    0.007    0.289   106   195   368     0     0    0    0    0    0    0    0    2    1   10   14    3   17   27   28  449  532   99   18
2018-09-22/13:25:42      5.7      0.1    0.428    0.007    0.289   106   195   367     0     0    0    0    0    0    0    0    2    2   10   32   28   46   23   30  404  898  441   59
2018-09-22/14:28:52      5.1      0.9    0.077   -0.003    0.058  1797  1826   369     0     0    0    0    0    0    0    0    3    3    9   32   28   46   21   30  404  898  441  111
2018-09-22/19:46:37      5.1     22.2    0.769   -0.182    0.547  1973  1535   421     0     0    0    0    0    0    0    0    0    0    0    0    0    0    8   12  101  349  159   32
2018-09-28/00:52:14      5.0     21.8    0.343    0.206    0.214   133   441   265     0     0    0    0    0    0    0    0    0    0    0    0    0    0    6    4    6   17    6    4
2018-09-28/12:53:52      5.5      0.1    0.886    0.079    0.612    24   167   445     0     0    0    0    0    0    0    0    0    0    0    0    0    0   28   29   32   33   17   26
2018-10-04/12:53:54      4.6      1.0    0.367    0.016    0.307    16    26   456     0     0    0    0    0    0    0    0    0    0    0    0    0    0   45   27   25   15    9   13
2018-10-04/13:24:23      4.6      1.0    0.367    0.016    0.307    16    26   396     0     0    0    0    0    0    0    0    0    0    0    0    0    0   49   50   25   15    9   13
2018-10-07/12:37:19      5.0      0.5    0.424    0.015    0.327    15    38   289     0     0    0    0    0    0    0    0   31   20    7   24   21   61   47   26  359  565  352   62
2018-10-07/18:57:00      5.7     22.6    1.252   -0.025    0.838    45    40   360     0     0    0    0    0    0    0    0    0    0    0    0    0    0  499  484  449  832  242   32
2018-10-08/15:29:57      4.9      0.5    0.075    0.006    0.058    71   121   409     0     0    0    0    0    0    0    0    7    2    7   12   29   52   20    9  314  482  198   82
2018-10-09/10:01:57      4.4      1.1    0.249   -0.002    0.214  1195  1320   326     0     0    0    0    0    0    0    0    0    0    1   17   16    9   11   12   22  158  176   79
2018-10-09/10:31:08      4.4      1.1    0.249   -0.002    0.214  1195  1320   302     0     0    0    0    0    0    0    0    0    0    1   17   16   10   15   33  123  158  176  164
2018-10-10/19:44:56      5.7     23.3    0.163    0.025    0.108    63   287   360     0     0    0    0    0    0    0    0    9    6    3   23   17   87   42  217  719  449  319   46
2018-12-18/03:00:11      5.5     21.7    0.841   -0.380    0.500    55   106     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   10    4   14    9    3    3
2018-12-31/05:46:32      3.1     23.4    0.872   -0.331    0.934   140   153     0     0     0    0    0    0    0    0    0    0    0    0    0    1    4   25   33   29   28   23   29
2019-01-05/01:15:53      4.6     21.7    1.342   -0.522    0.976   100   131     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   23   19   14    7    3    4
2019-01-05/23:31:29      5.6     18.1    1.588   -1.049    0.753   248   504     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   45   39   17    7    2    3
2019-01-24/23:06:25      5.1     16.9    0.532   -0.240    0.351    56   493     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   62   54   39   18    4    4
2019-01-25/00:41:04      6.2     18.2    1.598   -1.016    0.703     8    26     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   15   20   14    3    1    3
2019-02-01/01:58:51      5.8     17.7    1.757   -0.675    1.009    11    25     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   44   27   17    8    4    8
2019-02-02/03:20:56      4.3     16.4    0.821   -0.189    0.691   211  1080     0     0     0    0    0    0    0    0    0    0    0    0    0    1    0   66  112   87   39   13    6
2019-02-05/02:31:25      4.0     15.9    0.236   -0.219    0.082    40   252     0     0     0    0    0    0    0    0    0    0    0    0    0    0   10   58   75   70   39   14   18
2019-02-05/22:57:49      6.3     18.1    1.302    0.387    0.781    53   307     0     0     0    0    0    0    0    0    0    0    0    1    0    0    0   53  129  123   60    8    3
2019-02-06/05:27:08      4.1     16.0    0.828   -0.129    0.753    24   120     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   53   58   73   41    9   19
2019-02-08/20:34:51      5.3     16.6    0.514   -0.198    0.336    53   292     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   22   32   39   20    4    3
2019-02-08/22:09:09      6.2     17.8    1.110   -0.486    0.591   302   470     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0    7    3    1    1    1    3
2019-02-12/05:22:14      5.2     16.8    1.709   -0.078    1.258    11    31     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   44  121   95  116   28    8
2019-02-14/03:12:02      5.9     17.6    1.956   -0.441    1.201    91   480     0     0     0    0    0    0    0    0    0    0    1    3    3    0    0   80  142  174  158   44    6
2019-02-14/22:05:16      6.1     18.2    1.373   -0.813    0.654    50   239     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   91   62   56   47    9    3
2019-02-15/04:33:11      5.0     16.5    0.915   -0.173    0.680    13    34     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   49   39   22   12    4    3
2019-02-18/03:43:29      4.7     16.1    0.189   -0.057    0.145   262   348     0     0     0    0    0    0    0    0    0    0    0    0    0    0    0   31   39   33   19    5    6
2019-03-15/22:03:45      6.0     16.9    0.850    0.470    0.471    31    28   863  4367     0    0    0    0    0    0    0    0    0    0    0    0    0    7    4    2   11   15    3
2019-03-16/06:06:04      5.7     16.3    0.275   -0.044    0.181    32    32   375     0     0    0    0    0    0    0    0    0    0    0    0    0    0   27   26   13    4    6   13
2019-03-17/00:59:26      5.8     17.1    0.656    0.296    0.394    72    33   385     0     3    0    0    0    0    0    0    0    0    0    0    0    0   34   25    5    4    3    7
2019-03-17/07:25:26      4.9     15.2    0.581    0.121    0.446    60    26   350     0     3    0    0    0    0    0    0    1    0    0    0    0    0   99  108  191  208  209   29
2019-03-17/15:48:17      4.5     14.7    0.165    0.014    0.140    71    32   336     0    47    0    0    0    0    0    0    0    0    0    0    0    2   47  100  179  199   68   17
2019-03-17/16:48:20      4.5     14.7    0.165   -0.002    0.141    71    32   480     0     3    0    0    0    0    0    0    0    0    0    0    0    0   47  104  191  224   68    9
2019-03-29/12:31:12      5.6     15.5    1.021    0.108    0.705    12    31   360  4215     0    0    0    0    0    0    0    0    0    0    0    0    0   38   25    9    2    2    4
2019-03-30/06:58:54      5.9     16.1    0.206    0.045    0.131    33    33   409  2324     0    0    0    0    0    0    0    0    0    0    0    0    0   34   52   73  108   41   13
2019-03-30/13:48:29      4.6     14.5    0.571    0.037    0.471     9    28   337  4787     0    0    0    0    0    0    0    0    0    0    0    1    2   10   18   20    9    4    7
2019-03-31/08:17:40      5.4     15.2    0.907    0.187    0.641     9    31   850     0     0    0    0    0    0    0    0    0    0    0    0    0    0   62   41   32   16    9   13
2019-04-01/04:49:42      5.4     17.3    0.630   -0.148    0.425    70    36   361     0     0    0    0    0    0    0    0    0    0    0    0    0    0   62   79   75   95   55   10
2019-04-03/07:27:32      5.7     15.4    1.051    0.246    0.703    41    34   361     0     0    0    0    0    0    0    0    0    0    0    0    0    0   69   75   50   45   14    5
2019-04-03/15:17:57      5.3     15.0    0.178    0.009    0.127    63    33   540     0    15    0    0    0    0    0    0    0    0    0    0    0    0  132  175  146  149   49    6
2019-04-03/15:51:29      5.3     15.0    0.178    0.009    0.127    63    33   540     0    15    0    0    0    0    0    0    0    0    0    0    0    0  132  158  146  149   49    6
2019-04-04/03:59:08      5.1     17.6    0.661   -0.199    0.464    47    29   421     0     0    0    0    0    0    0    0    0    0    0    0    0    0  106   83   61   32   13    4
2019-04-04/09:16:32      5.2     14.8    0.690    0.117    0.505     1    24   862     0     0    0    0    0    0    0    0    0    0    0    0    0    0    8    9    9    4    2    3
2019-04-04/18:08:42      5.6     15.3    1.330    0.366    0.900    59    30   421     0   134    0    0    0    0    0    0    0    0    0    0    0    0  176  167   64  141   71   19
2019-04-05/20:00:14      4.8     14.2    0.031    0.008    0.024    36    29   302  6931     3    0    0    0    0    0    0    0    0    0    0    0    0  132  133  117  120   30    4
2019-04-06/08:12:16      5.8     16.8    1.222   -0.043    0.799    42    26   375     0     0    0    0    0    0    0    0    0    0    0    0    0    0    4    4   21   27    6    3
2019-04-07/09:30:14      6.0     15.9    0.263   -0.022    0.168    16    29   372     0     3    0    0    0    0    0    0    0    0    0    0    0    0   55   96   73   74   35   13
2019-04-07/16:19:09      4.8     14.2    0.879    0.043    0.708     8    35   361     0     0    0    0    0    0    0    0    0    0    0    0    0    0   95   71   56   37    7    3
2019-04-07/20:27:48      5.0     17.6    0.797   -0.216    0.576     2    24   361     0     0    0    0    0    0    0    0    0    0    0    0    0    0   29   28   15    5    2    4
2019-04-09/03:07:38      4.1     13.6    0.543    0.215    0.482    53    36   218  2588    47    0    0    0    0    0    0    0    0    0    0    0    0   99  150  117  112   63   11
2019-04-10/02:17:09      4.1     18.5    1.232   -0.481    1.002    74    36   278  3631     0    0    0    0    0    0    0    1    2    3    9   10   16   22    8    7    5    8    5
2019-05-05/06:57:57      5.1     13.5    0.808   -0.122    0.595     4    32   421     0     0    0    0    0    0    0    0    0    0    0    0    0    0   45   64   39   13    3    3
2019-05-05/08:33:29      6.1     14.8    0.703    0.171    0.433     3    33   421     0     0    0    0    0    0    0    0    0    0    0    0    0    0    6    7    4   11   15    3
2019-05-11/03:41:54      4.5     12.7    0.949   -0.207    0.773    11    43   338     0     0    0    0    0    0    0    0    0    0    0    0    0    0  191  142   87   49   15    9
2019-05-11/14:46:07      5.8     14.8    1.322    0.139    0.878    13    48   360     0     0    0    0    0    0    0    0    0    0    0    1    1    2  124   91   53   19    3    3
2019-05-11/16:20:11      5.5     16.0    0.614    0.059    0.427    22    45   360     0     0    0    0    0    0    0    0    0    0    0    1    1    2  117   96   53   22    5    3
2019-05-11/22:38:20      5.4     14.0    0.182   -0.065    0.119     7    45   361     0     0    0    0    0    0    0    0    0    0    0    0    0    0  132  108  101   74   49   27
2019-05-12/23:56:35      4.5     12.8    1.221   -0.358    0.959    12    45   287     0     0    0    0    0    0    0    0    0    0    0    0    0    0   47   56   33    8    2    3
2019-05-13/12:38:07      5.7     16.1    1.091    0.144    0.739    11    46   457     0     0    0    0    0    0    0    0    0    1    1    0    0    0   24   18   10    3    4    8
2019-09-17/03:44:42      4.3      8.9    1.321   -0.622    0.976     3    40   182  1255    23    0    0    0    0    0    0    2    1    0    0    4    5   10   22   33   18   15   23
2019-09-29/05:03:23      4.1      8.5    0.534   -0.494    0.178    18    39     3  4089     3    0    0    0    0    0    0    0    0    0    0    0    1   66  192  106   35   28   51
2019-09-30/07:55:54      4.7      9.1    1.007   -0.297    0.758    84    39   337  4119     0    0    0    0    0    0    0    0    0    0    0    0    0   29   39  123  266  176   69
2019-10-02/04:10:19      5.2      9.4    1.306   -0.324    0.908     8    36   361     0    71    0    0    0    0    0    0    0    0    0    0    0    1   42   71   73  141   85   13
