date					  L		 MLT     mnsep	  dL	   dMLT   col	sur	  EMFb   B1b   B2b  7E4	 7E5  7E6  7B4  7B5	7B6  13E7 13E8 13E9 13E10 13E11	13E12 13B7 13B8	13B9 13B10 13B11 13B12
2015-02-01/03:53:32      3.4     20.4    1.076    0.630    1.093    11     4   230     0     0    0    0    1   22   18   22    0    0    0    0    0    0    0    0    0    0    0    0
2015-04-07/23:58:11      3.7     18.8    0.792    0.454    0.707    17    25     1     0     3    0    0    1   30   33   41    0    0    0    0    0    0    0    0    0    0    0    0
2015-06-11/19:29:47      5.8     18.7    1.947    0.333    1.310    94   317   779     0     0    0    0    0   45    7    3    0    0    0    0    0    0    0    0    0    0    0    0
2015-04-07/23:58:11      3.7     18.8    0.792    0.454    0.707    17    25     1     0     3    0    0    1   30   33   41    0    0    0    0    0    0    0    0    0    0    0    0
2015-06-11/19:29:47      5.8     18.7    1.947    0.333    1.310    94   317   779     0     0    0    0    0   45    7    3    0    0    0    0    0    0    0    0    0    0    0    0
2015-06-12/13:02:20      5.7     18.4    0.141   -0.019    0.092    65   449  1352     0     0    1    0    0   45   87   20    0    0    0    0    0    0    0    0    0    0    0    0
2015-06-12/22:32:52      6.0     18.7    1.162    0.005    0.743    35    90  1209     0     0    0    0    0    1    1    3    0    0    0    0    0    0    0    0    0    0    0    0
2015-07-04/17:03:29      5.3     19.0    1.118    0.101    0.820  3610  6627   457     0     0    0    0    0  802 1997 1791    0    0    0    0    0    0    0    0    0    0    0    0
2015-12-15/04:29:14      4.8     10.3    1.548    0.507    1.246    17    27   242     0    39    0    3   12    8   79   49    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-20/19:47:16      5.8     10.7    0.477    0.016    0.315    62   431   290     0     7    1   11    6  158  665   29    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-21/22:46:47      5.9     10.8    0.749    0.042    0.483    80  1739   934     0   194    2   29    3   71 1131   34    0    0    0    0    0    0    0    0    0    0    0    0
2016-05-26/09:54:17      3.4      9.3    0.929   -0.454    0.865   608   369   191     0     7    0    0    1   25   64   36    0    0    0    0    0    0    0    0    0    0    0    0
2016-05-30/10:51:04      5.2      7.3    1.335   -1.144    0.457    60   615   552     0    43    0   13   21    7  128   98    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-16/23:26:52      4.5      1.4    0.174    0.005    0.149   560   450   253  1782     0    0    0    0   10   27   49    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-16/23:58:57      4.5      1.4    0.174    0.005    0.149   560   450   216  1782     0    0    0    0    4   18   49    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-24/20:21:24      5.3      2.0    0.749   -0.708    0.165    20    26   409     0     0    1    1   26    8  208   23    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-28/21:41:20      4.2      0.7    0.862    0.039    0.784    11    28   218     0     0    0    0    0    6   30   26    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-28/22:44:09      5.2      1.8    0.014    0.000    0.010    11    37   802     0     0    0    0    0    3    5    3    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-28/23:17:32      5.2      1.8    0.014    0.000    0.010    11    37   885     0     0    0    0    0    3    3    3    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-30/01:40:37      5.4      1.8    0.138   -0.001    0.098   646   849   442  3302     0    0    0    0   64  191    9    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-30/03:14:11      5.7      2.3    0.867    0.084    0.582    31   233   445  5356     0    0    0    0   64  124    3    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-30/19:44:04      5.4      1.9    1.176    0.426    0.812    25    30   276     0    16    0    2    6   14  382  210    0    0    0    0    0    0    0    0    0    0    0    0
2016-12-24/15:13:26      3.5      1.9    0.365    0.129    0.374    71   326   147     0     7    1    0   20   32  149  210    0    0    0    0    0    0    0    0    0    0    0    0
2017-01-02/13:20:20      4.5      0.4    0.929   -0.256    0.735    35   114   373     0   190    0    0    7    3   21   19    0    0    0    0    0    0    0    0    0    0    0    0
2017-05-02/03:17:04      5.7     17.4    0.339    0.004    0.226    53   250     3  1012     0    0    0    0   29   20   46    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-01/07:33:38      4.8     17.4    0.259    0.005    0.205    91    66   242     0     0    0    0    0   16    5    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-02/10:29:39      4.8     17.4    0.665    0.142    0.528    33    59   301     0     0    0    0    0   39   19   13    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-02/15:20:54      5.1     14.6    0.371   -0.278    0.179   108   113   360     0    19    0    0   10   14    2   16    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-04/06:52:54      5.1     17.0    0.967    0.068    0.729    11    28   290     0     0    0    0    0   20    5    3    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-06/12:46:11      4.9     17.1    1.103    0.456    0.821    31    55   266     0     0    0    0    0   41   12   22    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-06/20:48:11      5.6     16.4    1.020    0.498    0.639    60  3576   301     0     0    0    0    0   24    6    3    0    0    0    0    0    0    0    0    0    0    0    0
