date					  L		 MLT     mnsep	  dL	   dMLT   col	sur	  EMFb   B1b   B2b  7E4	 7E5  7E6  7B4  7B5	7B6  13E7 13E8 13E9 13E10 13E11	13E12 13B7 13B8	13B9 13B10 13B11 13B12
2017-11-22/23:00:57      5.6     10.2    1.028   -0.148    0.686    40    44     3     0     3    0    1    1   11   13    9    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-24/00:22:02      5.7      8.9    0.322    0.069    0.210    37    98   193     0     0    0    0    5    2    9   14    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-24/08:48:04      5.7      8.5    0.094    0.005    0.063     8    28   314     0    55    0    5    2    4  197   26    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-25/02:14:17      5.0      8.0    0.722    0.136    0.545    13    78   277     0     0    0    0    1   17    2    5    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-25/22:16:26      5.9      9.3    0.805    0.281    0.504    21    30   289     0    23    0    1    0    6    3    9    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-28/04:07:16      5.8      8.9    0.575   -0.007    0.379    22    96   445     0    83    2    4    1   23  213   19    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-28/15:04:59      6.0     10.2    1.354    0.859    0.714    95   305   373     0    35    0    4    0   32  134    7    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-29/06:00:29      5.3      7.9    0.675    0.032    0.492    11    26   361     0     0    0    0    0   17   15    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-02/06:51:29      5.6      8.1    0.637    0.030    0.438    11    29   361     0    19    0    0    0   18    3    3    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-03/00:16:59      5.0      7.6    0.959    0.271    0.723     8    30   285     0    15    0    0    0   10   27   56    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-03/09:45:35      5.7      7.9    0.665   -0.002    0.449     8    28   290     0     0    0    0    0   21    0    3    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-05/07:42:06      5.8      8.3    0.496    0.025    0.327    11    28   361     0     3    0    5    2    7  268   34    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-08/06:57:52      5.1      7.3    1.704    0.297    1.307    15    29   361     0    51    0    2    1   32   19   72    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-09/00:22:56      4.2      6.6    0.385   -0.051    0.342     8    28   217     0     0    0    0    0    3    3    8    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-11/00:57:23      5.8      9.1    0.061    0.011    0.040   180   325   314     0    63    0    0    3    5    5    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-12/10:42:26      5.6      7.3    1.353    0.025    0.926     8    28   385     0    91    0   20   23    7   79   56    0    0    0    0    0    0    0    0    0    0    0    0
2018-02-26/18:46:36      5.2      7.3    0.767    0.350    0.515    17   108   373     0     0    1    0    5   23    7   19    0    0    0    0    0    0    0    0    0    0    0    0
2018-02-28/08:44:18      3.1      9.6    0.820   -0.786    0.254     8    29   170     0     0    0    0   11   41   19   14    0    0    0    0    0    0    0    0    0    0    0    0
2018-03-01/11:38:11      3.5      9.0    0.267   -0.266    0.016    11    29   934     0     0    0    0    0   38    9    7    0    0    0    0    0    0    0    0    0    0    0    0
2018-06-26/04:17:16      4.8     24.0    0.101    0.021    0.079    48   557   325     0    27    0    0    0    0    0    0    4    3   12   12   37  188   20   19  212  213  132  265
2018-07-15/10:24:04      5.4     23.8    1.074    0.108    0.766    15    27   277     0     0    0    0    0    0    0    0    0    0    0    0    0    0   25   24   25   15    4    4
