Conjunction data for RBSPa and FU3 from Shumko file FU3_RBSPA_conjunctions_dL10_dMLT10_hr_final.txt
Tstart = start of conjunction
Tend = end of conjunction
Tmin = time of closest conjunction (defined from minimum absolute separation)
Lrb = L value (rbspa) during min separation time
Lfb = L value (FU3) during min separation time
MLTrb = MLT value (rbspa) during min separation time
MLTfb = MLT value (FU3) during min separation time
distmin = minimum |separation| in RE b/t rbspa and FU3 at Tminsep
dLmin = |delta L| of rbspa) during min separation time
dMLTmin = |delta MLT| of rbspa) during min separation time
col = max collimated detector FB flux during conjunction
sur = max surface detector FB flux during conjunction
EMFb = number of sec of EMFISIS burst data within +/-60 min of middle conjunction time
B1b = number of sec of EFW burst 1 data within +/-60 min of middle conjunction time
B2b = number of sec of EFW burst 2 data within +/-60 min of middle conjunction time
The remaining columns are max EFW filter bank amplitudes (pT, mV/m) within +/-60 min of middle conjunction time
 
Tstart              Tend                Tmin				    Lrb       Lfb      MLTrb    MLTfb   distmin	 dLmin	dMLTmin    col	    sur    EMFb   B1b   B2b  7E4  7E5  7E6  7B4  7B5  7B6 13E7 13E8 13E9 13E10 13E11 13E12 13B7 13B8 13B9 13B10 13B11 13B12
2017-01-02/13:19:37 2017-01-02/13:21:03 2017-01-02/13:20:26     4.52     4.75     0.37     1.15   0.96423   -0.230    0.773    21.22    30.09   373     0   190    0    0    7    3   21   19    0    0    0    0    0    0    0    0    0    0    0    0
2017-05-02/03:16:37 2017-05-02/03:17:31 2017-05-02/03:17:04     5.74     5.73    17.39    17.16   0.33922    0.004    0.226     1.81    28.42     3  1012     0    0    0    0   29   20   46    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-01/07:33:02 2017-07-01/07:34:15 2017-07-01/07:33:44     4.83     4.82    17.40    17.61   0.25924    0.005    0.205     4.98    29.71   242     0     0    0    0    0   16    5    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-02/10:28:56 2017-07-02/10:30:22 2017-07-02/10:29:35     4.77     4.63    17.42    16.89   0.66463    0.142    0.528    26.07    25.75   301     0     0    0    0    0   39   19   13    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-02/15:19:56 2017-07-02/15:21:52 2017-07-02/15:20:24     5.11     5.39    14.55    14.73   0.37121   -0.278    0.179    15.04    27.35   360     0    19    0    0   10   14    2   16    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-04/06:52:18 2017-07-04/06:53:31 2017-07-04/06:53:00     5.10     5.03    17.04    17.77   0.96746    0.068    0.729     0.29    28.32   290     0     0    0    0    0   20    5    3    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-06/12:45:07 2017-07-06/12:47:15 2017-07-06/12:45:44     4.91     4.46    17.08    16.26   1.10284    0.456    0.821     2.43    28.61   266     0     0    0    0    0   41   12   22    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-06/20:47:42 2017-07-06/20:48:41 2017-07-06/20:47:59     5.58     5.08    16.40    15.78   1.00342    0.497    0.626     4.08    27.61   301     0     0    0    0    0   24    6    3    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/12:03:37 2017-07-09/12:05:15 2017-07-09/12:04:23     5.19     5.06    16.72    16.42   0.41884    0.130    0.297     6.31    25.74   290  5236     0    0    0    0   87   10    6    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/16:55:47 2017-07-09/16:56:36 2017-07-09/16:56:02     4.65     5.42    13.83    14.25   0.95300   -0.771    0.427    22.25    25.36   170     0    11    0    0    0   54   18   12    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/18:31:03 2017-07-09/18:32:56 2017-07-09/18:31:33     5.70     5.17    15.11    14.75   0.74164    0.533    0.363    60.84    25.62   302     4     0    0    1    0   56   91    7    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/20:06:28 2017-07-09/20:07:22 2017-07-09/20:06:39     5.70     5.11    16.09    15.46   1.06102    0.587    0.626    26.62    25.08   290  5046     0    0    0    0   48   58    3    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-11/09:58:37 2017-07-11/10:00:34 2017-07-11/09:59:45     3.86     3.75    17.78    17.25   0.53365    0.105    0.526    23.03    25.63  1197  2768     0    0    0    0   43   16   14    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-11/14:50:25 2017-07-11/14:52:28 2017-07-11/14:51:03     5.53     5.73    14.75    14.85   0.24488   -0.199    0.097    59.23    27.27   230     0     0    0    0    0   18    3    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-11/16:26:47 2017-07-11/16:27:41 2017-07-11/16:26:22     5.73     4.66    15.75    15.12   1.37054    1.075    0.629    22.19    26.81   278     0     0    0    0    0   43   33    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-12/19:25:13 2017-07-12/19:26:02 2017-07-12/19:25:16     5.78     5.01    15.78    15.14   1.18843    0.775    0.641    32.25    25.90   361     0     0    0    0    0   60   56    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-16/23:13:33 2017-07-16/23:14:36 2017-07-16/23:14:05     5.14     5.20    16.51    17.00   0.67023   -0.063    0.493    69.84    28.58   396     0     0    1    0    0  129   29    3    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-17/15:01:35 2017-07-17/15:04:02 2017-07-17/15:02:43     5.77     5.81    15.14    15.17   0.05776   -0.037    0.029    67.09   210.08   564  6581     0    0    0    0   28   15    7    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-21/17:19:31 2017-07-21/17:21:34 2017-07-21/17:20:05     5.79     5.22    14.86    14.60   0.68393    0.572    0.261    53.53    24.86   480     0    59    0    4    1 1203 2130 2107    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-21/18:55:18 2017-07-21/18:56:02 2017-07-21/18:55:27     5.57     4.82    15.82    15.14   1.18496    0.745    0.680    61.23    24.87   507     0     7    0    3    1   16  120   39    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-22/20:16:56 2017-07-22/20:18:22 2017-07-22/20:17:52     5.86     6.13    14.88    15.16   0.51521   -0.268    0.280    41.08    23.92   457     0    39    0    5    0    7  332   31    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-22/21:51:28 2017-07-22/21:52:41 2017-07-22/21:52:09     5.57     5.74    15.84    16.22   0.58720   -0.163    0.381    22.13    25.18   564     0    47    0    5    0    4  332   10    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-21/07:55:08 2017-11-21/07:56:56 2017-11-21/07:56:40     4.12     4.83     7.79     8.47   1.07456   -0.717    0.687     1.42    29.26   302   238    75    0    5   29   10  183   98    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-21/20:00:57 2017-11-21/20:03:02 2017-11-21/20:02:21     6.05     5.76    10.36    10.64   0.51532    0.284    0.278    59.16    30.20  1875  7124    79    1   20    0   75  665   23    0    0    0    0    0    0    0    0    0    0    0    0
