Conjunction data for RBSPb and FU3 from Shumko file FU3_RBSPB_conjunctions_dL10_dMLT10_hr_final.txt
Tstart = start of conjunction
Tend = end of conjunction
Tmin = time of closest conjunction (defined from minimum absolute separation)
Lrb = L value (rbspb) during min separation time
Lfb = L value (FU3) during min separation time
MLTrb = MLT value (rbspb) during min separation time
MLTfb = MLT value (FU3) during min separation time
distmin = minimum |separation| in RE b/t rbspb and FU3 at Tminsep
dLmin = |delta L| of rbspb) during min separation time
dMLTmin = |delta MLT| of rbspb) during min separation time
col = max collimated detector FB flux during conjunction
sur = max surface detector FB flux during conjunction
EMFb = number of sec of EMFISIS burst data within +/-60 min of middle conjunction time
B1b = number of sec of EFW burst 1 data within +/-60 min of middle conjunction time
B2b = number of sec of EFW burst 2 data within +/-60 min of middle conjunction time
The remaining columns are max EFW filter bank amplitudes (pT, mV/m) within +/-60 min of middle conjunction time
 
Tstart              Tend                Tmin				    Lrb       Lfb      MLTrb    MLTfb   distmin	 dLmin	dMLTmin    col	    sur    EMFb   B1b   B2b  7E4  7E5  7E6  7B4  7B5  7B6 13E7 13E8 13E9 13E10 13E11 13E12 13B7 13B8 13B9 13B10 13B11 13B12
2015-06-11/19:29:23 2015-06-11/19:30:12 2015-06-11/19:29:33     5.83     5.55    18.75    19.97   1.83011    0.287    1.219    14.49    14.92   749     0     0    0    0    0    5    0    3    0    0    0    0    0    0    0    0    0    0    0    0
2015-06-12/13:01:56 2015-06-12/13:03:03 2015-06-12/13:02:28     5.89     5.90    18.42    18.47   0.07001   -0.010    0.045     8.88    22.07  1352     0     0    0    0    0    8    8    9    0    0    0    0    0    0    0    0    0    0    0    0
2015-06-12/22:32:28 2015-06-12/22:33:17 2015-06-12/22:32:45     5.99     5.98    18.68    19.43   1.16568    0.013    0.745     5.09    13.81  1209     0     0    0    0    0    1    1    3    0    0    0    0    0    0    0    0    0    0    0    0
2015-07-04/20:12:52 2015-07-04/20:13:36 2015-07-04/20:13:00     5.04     4.88    19.16    20.18   1.33434    0.167    1.023  2627.76  1012.38   499     0    19    1    0    4  205   71   16    0    0    0    0    0    0    0    0    0    0    0    0
2015-12-14/17:23:44 2015-12-14/17:25:15 2015-12-14/17:24:36     4.82     4.61     9.73    10.56   1.04564    0.208    0.832     5.43    31.60   206     0    15    1    2    5  262  229  165    0    0    0    0    0    0    0    0    0    0    0    0
2015-12-15/04:26:56 2015-12-15/04:28:22 2015-12-15/04:27:32     5.88     5.76    11.54    11.81   0.43210    0.122    0.272    15.44    27.00   289     0   206    0   14    3   28  695   36    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-20/19:46:47 2016-01-20/19:47:51 2016-01-20/19:47:21     5.72     5.67    11.03    10.40   0.92622    0.054    0.621    49.43    29.17   243     0     0    0    7    4   49  316   34    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-21/22:46:23 2016-01-21/22:47:17 2016-01-21/22:46:48     5.90     5.84    10.86    10.29   0.87956    0.064    0.571    58.22    30.85   922     0   146    1   19    5   73  948   31    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-27/07:31:50 2016-01-27/07:33:46 2016-01-27/07:32:46     4.79     4.65    12.35    12.69   0.44290    0.140    0.341     2.98    35.54   259     0     0    0    0    0   19   13    3    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-14/01:32:56 2016-08-14/01:34:03 2016-08-14/01:33:42     5.51     5.46     2.13     1.50   0.90807    0.055    0.632    32.70    27.52   576  2796    87    1   35    2   12   75   12    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-17/00:59:44 2016-08-17/01:01:03 2016-08-17/01:33:36     5.26     5.25     1.70     1.55   0.20793    0.008    0.151    33.03    30.32   301     0    11    0   12    5    4   16   29    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-17/01:33:28 2016-08-17/01:34:07 2016-08-17/01:33:36     5.26     5.25     1.70     1.55   0.20793    0.008    0.151    33.03    30.32   265     0    27    2   12   19    4   17   29    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-25/01:02:33 2016-08-25/01:03:22 2016-08-25/01:03:14     5.84     5.70     2.44     1.61   1.25498    0.135    0.828     4.59    26.87  1375     0     3    1   23    2    8  442   28    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-28/19:34:52 2016-08-28/19:35:41 2016-08-28/19:35:19     5.83     5.81     2.31     2.41   0.15106    0.018    0.098     0.32    28.03   302     0     0    0    0    0    2    7   23    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-29/21:30:28 2016-08-29/21:31:12 2016-08-29/21:30:38     5.38     5.38     1.40     1.48   0.10363   -0.004    0.074    41.79    28.63   564     0    39    1    9   29   18   63  132    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-31/00:28:47 2016-08-31/00:29:41 2016-08-31/00:29:02     5.27     5.19     1.22     1.83   0.83652    0.074    0.609     7.05    29.44   193     0     0    0   12    2    2   61    4    0    0    0    0    0    0    0    0    0    0    0    0
2016-12-24/15:12:13 2016-12-24/15:14:46 2016-12-24/15:13:53     3.58     3.63     1.22     1.43   0.20316   -0.050    0.208     6.73    30.09   146     0     3    0    1   14   12   12   29    0    0    0    0    0    0    0    0    0    0    0    0
2017-05-02/03:16:33 2017-05-02/03:17:26 2017-05-02/03:17:05     5.81     5.71    17.92    17.16   1.14324    0.103    0.756     1.81    28.42     3  1008     0    0    0    0   41   27    3    0    0    0    0    0    0    0    0    0    0    0    0
2017-05-02/10:06:33 2017-05-02/10:07:46 2017-05-02/10:07:25     5.84     6.12    16.10    15.92   0.40630   -0.281    0.188     5.47    30.59   289    25     0    0    0    0   73  268  609    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-01/12:19:31 2017-07-01/12:21:09 2017-07-01/12:20:19     5.64     5.53    16.28    16.08   0.31385    0.105    0.202     9.48    27.34   302     0     0    0    0    0   41   29    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-01/18:46:19 2017-07-01/18:48:28 2017-07-01/18:47:25     5.55     5.56    14.51    14.53   0.02760   -0.019    0.014    44.19    22.69   289     0    11    0    3    0    9   61   11    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-01/20:21:50 2017-07-01/20:23:09 2017-07-01/20:22:21     5.81     5.61    15.59    15.36   0.39948    0.201    0.231    21.15    23.90   266     0   107    0    4    0    3  106    9    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-01/21:55:50 2017-07-01/21:57:15 2017-07-01/21:56:27     5.06     4.92    16.67    16.37   0.41984    0.137    0.304     9.70    24.44   290     0     0    0    0    0   13   41   13    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-02/07:20:02 2017-07-02/07:20:31 2017-07-02/07:19:57     4.91     4.84    16.94    17.67   0.92831    0.067    0.727     7.86    23.62   242   472     0    0    0    0    7   11   10    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-02/15:19:03 2017-07-02/15:20:36 2017-07-02/15:18:52     5.56     4.55    16.11    15.36   1.41004    1.011    0.747    15.04    27.35   361     0    31    0    4    2    3  118    6    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/02:35:56 2017-07-09/02:37:22 2017-07-09/02:36:35     4.31     4.21    16.99    17.94   1.06288    0.102    0.952    68.87    26.92   194     0     0    0    0    0   17    8    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/12:01:35 2017-07-09/12:04:02 2017-07-09/12:02:48     3.87     3.64    17.43    16.71   0.73703    0.230    0.714     6.31    25.74   146     0     0    0    0    1   26   23   25    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/16:55:00 2017-07-09/16:58:00 2017-07-09/16:56:06     5.57     5.45    14.28    14.22   0.14026    0.119    0.051    22.25    25.36   147  2877    23    4    1    0   27   10    3    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/18:31:13 2017-07-09/18:32:36 2017-07-09/18:31:24     5.80     5.06    15.32    14.83   1.02069    0.740    0.497    60.84    25.62   313  7119     0    0    0    0   45   67   10    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/20:05:42 2017-07-09/20:06:41 2017-07-09/20:05:59     5.01     4.48    16.40    15.73   0.98116    0.528    0.668    26.62    25.08   278  6428     0    0    0    0   45   53    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-11/14:50:42 2017-07-11/14:53:02 2017-07-11/14:51:19     5.82     5.90    14.66    14.71   0.10784   -0.082    0.046    59.23    27.27   218     0     0    0    0    0    5   13    7    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-11/16:26:31 2017-07-11/16:27:57 2017-07-11/16:26:23     5.57     4.67    15.67    15.11   1.16832    0.907    0.552    22.19    26.81   314     0     0    0    0    0   38   15    3    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-12/19:25:03 2017-07-12/19:26:36 2017-07-12/19:25:26     5.68     5.16    15.51    15.06   0.82549    0.524    0.451    32.25    25.90   361     0     0    0    0    0   69   37    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-16/15:14:13 2017-07-16/15:16:55 2017-07-16/15:14:54     4.77     4.35    16.29    15.80   0.72043    0.422    0.490     7.25    27.30   373     0     0    0    0    0   26   19    6    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-21/18:56:13 2017-07-21/18:57:31 2017-07-21/18:56:55     5.73     6.10    14.07    14.32   0.53145   -0.373    0.245    61.23    24.87   409     0     0    0    3    0   23  165   10    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-21/07:56:28 2017-11-21/07:57:31 2017-11-21/07:56:58     5.33     5.33     8.30     8.47   0.24766    0.005    0.177     1.42    29.26   290     0   123    0    9   21    9  300  165    0    0    0    0    0    0    0    0    0    0    0    0
