date					  L		 MLT     mnsep	  dL	   dMLT   col	sur	  EMFb   B1b   B2b  7E4	 7E5  7E6  7B4  7B5	7B6  13E7 13E8 13E9 13E10 13E11	13E12 13B7 13B8	13B9 13B10 13B11 13B12
2017-07-22/20:05:42      5.8     14.8    0.564   -0.290    0.310   166     0   482     0    59    0    5    2    7  332   36    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-22/21:40:19      5.7     15.7    0.599   -0.186    0.378   157     0   481     0    47    0    5    0    4  332   10    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-21/00:52:16      5.6      9.5    0.769   -0.056    0.521   575     0   289     0    63    0    3   13  108  174   52    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-21/07:41:51      3.8      7.5    1.171   -0.485    1.023    11     0   266  1081    71    0    1   29   10   20   98    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-21/19:47:44      6.1     10.2    0.893    0.513    0.480   417     0  2234  7127    83    1   20    0   75  665   23    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-22/10:35:59      4.0      7.5    0.650   -0.021    0.616    42     0   266     0     0    0    1    6   52   37   75    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-22/13:09:23      6.3      9.8    0.953    0.440    0.531   148     0   302     0   138    2   15    1   58  282    8    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-22/22:46:57      5.8     10.2    0.944   -0.162    0.603    61     0   290     0     7    0    9    3    8  241   23    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-24/00:08:16      5.4      9.1    0.071    0.014    0.049    31     0   169     0    31    1    1    8    2    5   20    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-25/22:02:20      5.8      9.9    0.061    0.018    0.038    20     0   290     0   142    0    1    1  869 1997 1791    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-28/11:42:12      6.0      9.1    0.918    0.298    0.570   335     0   480     0   261    0    7    1   24  316    9    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-28/14:51:02      5.3     11.6    0.843   -0.430    0.503   293     0   481     0    23    2    3    2   48  108   36    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-04/11:48:49      6.2      9.5    0.446    0.143    0.264   342     0   504     0    51    0    1    1  129   99   12    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-04/21:24:20      5.8      9.9    0.401    0.157    0.245    51     0   361     0     7    0    6    5    4  199   41    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-05/16:18:36      5.9     10.7    1.059    0.697    0.548   122     0   405     0    67    6   29    7   22  599   95    0    0    0    0    0    0    0    0    0    0    0    0
2017-12-05/22:46:12      5.5      8.8    1.203    0.409    0.812  1426     0   481     0    47    1    9    6    7  382   47    0    0    0    0    0    0    0    0    0    0    0    0
