Conjunction data for RBSPa and FU4 from Shumko file FU4_RBSPA_conjunctions_dL10_dMLT10_hr_final.txt
Tstart = start of conjunction
Tend = end of conjunction
Tmin = time of closest conjunction (defined from minimum absolute separation)
Lrb = L value (rbspa) during min separation time
Lfb = L value (FU4) during min separation time
MLTrb = MLT value (rbspa) during min separation time
MLTfb = MLT value (FU4) during min separation time
distmin = minimum |separation| in RE b/t rbspa and FU4 at Tminsep
dLmin = |delta L| of rbspa) during min separation time
dMLTmin = |delta MLT| of rbspa) during min separation time
col = max collimated detector FB flux during conjunction
sur = max surface detector FB flux during conjunction
EMFb = number of sec of EMFISIS burst data within +/-60 min of middle conjunction time
B1b = number of sec of EFW burst 1 data within +/-60 min of middle conjunction time
B2b = number of sec of EFW burst 2 data within +/-60 min of middle conjunction time
The remaining columns are max EFW filter bank amplitudes (pT, mV/m) within +/-60 min of middle conjunction time
 
Tstart              Tend                Tmin				    Lrb       Lfb      MLTrb    MLTfb   distmin	 dLmin	dMLTmin    col	    sur    EMFb   B1b   B2b  7E4  7E5  7E6  7B4  7B5  7B6 13E7 13E8 13E9 13E10 13E11 13E12 13B7 13B8 13B9 13B10 13B11 13B12
2015-06-11/19:26:23 2015-06-11/19:27:17 2015-06-11/19:26:32     5.78     5.44    18.63    19.97   1.98660    0.339    1.340    34.89    -1.00   779     0     0    0    0    0   45    7    3    0    0    0    0    0    0    0    0    0    0    0    0
2015-08-25/07:50:28 2015-08-25/07:51:46 2015-08-25/07:50:58     5.18     4.89    17.34    18.11   1.06282    0.290    0.777     6.88    -1.00   719     0     0    0    0    0    6    2    4    0    0    0    0    0    0    0    0    0    0    0    0
2015-11-18/09:51:37 2015-11-18/09:52:56 2015-11-18/09:52:16     5.77     5.64    12.96    13.13   0.28504    0.130    0.170    13.77    -1.00   265     0     0    0    0    0   39   10    8    0    0    0    0    0    0    0    0    0    0    0    0
2015-12-03/15:43:44 2015-12-03/15:45:03 2015-12-03/15:44:17     5.66     5.75    11.49    11.16   0.50954   -0.093    0.336    38.42    -1.00   289     0     0    0    0    0   30   41    3    0    0    0    0    0    0    0    0    0    0    0    0
2015-12-12/14:24:44 2015-12-12/14:26:09 2015-12-12/14:25:48     5.46     4.98    11.04    11.84   1.18579    0.484    0.794    24.37    -1.00   292     0     7    0    2    1    9   91   32    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-14/19:02:56 2016-01-14/19:04:22 2016-01-14/19:03:25     5.18     5.37     9.77    10.48   0.99413   -0.193    0.707    19.95    -1.00   517     0    75    1    2   11    6    6   47    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-20/19:42:47 2016-01-20/19:43:51 2016-01-20/19:43:20     5.77     5.76    10.67    10.42   0.38754    0.006    0.257    64.75    -1.00   290     0     7    1   11    6  158  665   29    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-21/22:42:23 2016-01-21/22:43:17 2016-01-21/22:42:47     5.94     5.91    10.73    10.28   0.68564    0.027    0.442    72.00    -1.00   910     0   190    2   29    3   71 1131   34    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-22/00:16:57 2016-01-22/00:17:12 2016-01-22/00:17:37     5.62     5.35    11.87    10.54   1.91875    0.269    1.331    60.28    -1.00   205     0    39    0   26    6    7  798   69    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-13/23:53:56 2016-08-13/23:55:52 2016-08-13/23:54:54     4.55     4.55     1.58     1.47   0.12807   -0.003    0.107    15.45    -1.00   133     0     0    0    0    0    9   29   19    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-14/00:26:52 2016-08-14/00:27:56 2016-08-14/00:27:18     5.06     5.00     2.11     1.59   0.68607    0.057    0.519    26.30    -1.00   384     0     0    0    0    0   14   18   13    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-14/08:18:50 2016-08-14/08:21:17 2016-08-14/08:19:40     3.94     3.55     0.87    24.00   0.93591    0.389    0.872    10.05    -1.00   146     0    35    0    0    3   27   26   14    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-21/20:49:13 2016-08-21/20:50:07 2016-08-21/20:49:47     5.35     5.36     2.17     2.00   0.24331   -0.008    0.173    23.86    -1.00   292     0    59    0    0    8    6  316   25    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-24/20:15:08 2016-08-24/20:16:02 2016-08-24/20:15:14     5.23     6.18     1.92     2.19   1.02780   -0.944    0.273    30.07    -1.00   397     0     0    0    0    0   13  191   23    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-24/20:46:47 2016-08-24/20:47:36 2016-08-24/20:15:14     5.23     6.18     1.92     2.19   1.02780   -0.944    0.273    30.07    -1.00   433     0     0    1    1   26    3  224   23    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-28/22:37:44 2016-08-28/22:39:03 2016-08-28/22:38:24     5.16     5.15     1.71     1.81   0.14116    0.008    0.104    51.88    -1.00   695     0     0    0    0    0    3   10    4    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-28/23:11:03 2016-08-28/23:12:07 2016-08-28/22:38:24     5.16     5.15     1.71     1.81   0.14116    0.008    0.104    51.88    -1.00   921     0     0    0    0    0    3    3    3    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-30/01:34:18 2016-08-30/01:35:22 2016-08-30/01:35:02     5.30     5.30     1.74     1.72   0.03752    0.003    0.027    42.25    -1.00   397  2959     0    0    0    0   64  191    9    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-30/03:07:52 2016-08-30/03:08:41 2016-08-30/02:09:13     5.66     5.60     2.18     1.69   0.73060    0.064    0.494     5.55    -1.00   421  5355     0    0    0    0   64  124    3    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-30/19:37:47 2016-08-30/19:38:26 2016-08-30/19:37:51     5.33     5.14     1.83     1.07   1.06897    0.192    0.769    66.00    -1.00   276     0    35    0    2   11   14  382  210    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-01/07:21:42 2017-07-01/07:22:56 2017-07-01/07:22:25     5.03     5.02    17.24    17.65   0.53208    0.008    0.405     8.86    -1.00   290     0     0    0    0    0   15    5    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-02/10:17:28 2017-07-02/10:18:51 2017-07-02/10:18:12     4.98     4.92    17.26    16.93   0.42517    0.061    0.325    51.04    -1.00   337     0     0    0    0    0   39   19   13    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-02/15:08:42 2017-07-02/15:09:41 2017-07-02/15:08:43     4.95     5.51    14.37    14.76   0.77062   -0.555    0.391    16.08    -1.00   360     0    19    0    0   10   14    2   16    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-03/14:19:02 2017-07-03/14:22:00 2017-07-03/14:20:36     3.30     3.15    18.63    19.20   0.50548    0.150    0.572     3.00    -1.00   707     0     0    0    0    2   33   31   36    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-06/12:33:37 2017-07-06/12:35:28 2017-07-06/12:34:14     5.10     4.74    16.93    16.27   0.92104    0.357    0.661     3.10    -1.00   278     0     0    0    0    0   41   23   22    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/11:51:50 2017-07-09/11:53:15 2017-07-09/11:52:32     5.35     5.33    16.58    16.50   0.10266    0.024    0.071     7.26    -1.00   302  4529     0    0    0    0   87   10    6    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/18:19:07 2017-07-09/18:21:22 2017-07-09/18:19:48     5.63     5.20    14.99    14.70   0.58752    0.431    0.282    73.75    -1.00   290     4     0    0    1    0   56   91    7    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/19:54:47 2017-07-09/19:55:46 2017-07-09/19:55:00     5.75     5.16    15.97    15.37   1.03745    0.590    0.598    25.12    -1.00   290  4354     0    0    0    0   56   91    3    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/21:28:47 2017-07-09/21:29:17 2017-07-09/21:29:08     4.83     4.44    17.08    16.35   0.96088    0.388    0.726    60.21    -1.00   290  6175     0    0    0    0   66   22    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-11/09:47:19 2017-07-11/09:49:03 2017-07-11/09:48:21     4.14     4.11    17.54    17.28   0.27985    0.031    0.258    21.35    -1.00  1173  2298     0    0    0    0   43   16   14    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-11/14:39:02 2017-07-11/14:40:03 2017-07-11/14:39:14     5.43     5.91    14.61    14.87   0.61640   -0.484    0.257    64.64    -1.00   230     0     0    0    0    0   32    3    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-11/16:14:50 2017-07-11/16:16:09 2017-07-11/16:14:34     5.76     4.78    15.63    15.10   1.22618    0.985    0.532    21.00    -1.00   314     0     0    0    0    0   43   33    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-12/19:13:23 2017-07-12/19:14:22 2017-07-12/19:13:30     5.81     5.04    15.66    15.07   1.14352    0.775    0.594    48.25    -1.00   361     0     0    0    0    0   60   56    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-16/15:00:57 2017-07-16/15:01:51 2017-07-16/15:01:20     4.22     3.59    17.20    16.25   1.15080    0.631    0.947     2.16    -1.00   361     0    19    2    0    2   60   12   13    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-16/23:01:57 2017-07-16/23:02:56 2017-07-16/23:02:26     5.28     5.38    16.36    16.91   0.76887   -0.094    0.547    69.95    -1.00   444     0     0    1    0    0  129   47    3    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-17/14:50:07 2017-07-17/14:52:34 2017-07-17/14:51:05     5.76     5.80    15.02    15.05   0.05986   -0.044    0.027    75.07    -1.00   492  5899     0    0    0    0   28   15    7    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-21/17:07:13 2017-07-21/17:09:46 2017-07-21/17:08:09     5.74     5.33    14.74    14.55   0.49807    0.414    0.191    59.93    -1.00   480     0    59    0    4    1 1203 2130 2107    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-21/18:43:28 2017-07-21/18:44:17 2017-07-21/18:43:26     5.65     4.81    15.70    15.13   1.14659    0.844    0.569    61.96    -1.00   469     0    15    0    3    1   16  133   39    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-22/20:04:56 2017-07-22/20:06:28 2017-07-22/20:05:59     5.83     6.12    14.76    15.07   0.56427   -0.290    0.310    28.75    -1.00   482     0    59    0    5    2    7  332   36    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-22/21:39:42 2017-07-22/21:40:51 2017-07-22/21:40:23     5.67     5.85    15.71    16.10   0.61737   -0.185    0.391     6.80    -1.00   481     0    47    0    5    0    4  332   10    0    0    0    0    0    0    0    0    0    0    0    0
